customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
1066,24,12,3854.39,3,4,5,Loyal Customers
1067,25,5,1257.22,3,1,1,About to Sleep
1068,9,12,2689.06,4,4,3,Loyal Customers
1069,63,13,3240.17,1,4,4,At Risk
1070,27,9,2381.96,3,2,3,About to Sleep
1071,23,9,2537.58,3,2,3,About to Sleep
1072,15,12,2632.74,3,4,3,Loyal Customers
1073,3,15,3743.86,5,5,5,Champions
1074,15,16,4570.96,3,5,5,Loyal Customers
1075,47,10,2999.85,2,3,4,At Risk
1076,13,6,783.98,4,1,1,Promising
1077,17,10,3104.66,3,3,4,Need Attention
1078,22,9,1826.79,3,2,2,About to Sleep
1079,26,13,3336.56,3,4,4,Loyal Customers
1080,21,10,2781.44,3,3,4,Need Attention
1081,3,12,3039.29,5,4,4,Champions
1082,9,16,4731.57,4,5,5,Loyal Customers
1083,117,8,1877.1299999999999,1,2,2,Hibernating
1084,1,12,3201.29,5,4,4,Champions
1085,8,15,2654.29,4,5,3,Loyal Customers
1086,2,9,2330.56,5,2,3,Potential Loyalists
1087,23,9,2366.29,3,2,3,About to Sleep
1088,2,8,2526.16,5,2,3,Potential Loyalists
1089,32,6,1313.08,2,1,1,Hibernating
1090,22,13,2989.6400000000003,3,4,4,Loyal Customers
1091,51,13,2831.76,2,4,4,At Risk
1092,12,11,2840.48,4,3,4,Potential Loyalists
1093,10,12,3702.73,4,4,5,Loyal Customers
1094,24,8,2789.51,3,2,4,About to Sleep
1095,20,11,2751.28,3,3,3,Need Attention
1096,84,9,2457.05,1,2,3,Hibernating
1097,3,12,3104.85,5,4,4,Champions
1098,44,13,3422.5,2,4,5,At Risk
1099,189,8,2995.75,1,2,4,Hibernating
1100,3,13,3652.7999999999997,5,4,5,Champions
1101,3,12,3452.46,5,4,5,Champions
1102,2,7,1364.6299999999999,5,1,1,New Customers
1103,171,12,3759.0,1,4,5,At Risk
1104,11,15,3530.16,4,5,5,Loyal Customers
1105,79,7,1628.52,1,1,1,Hibernating
1106,140,7,1890.57,1,1,2,Hibernating
1107,126,11,2938.4900000000002,1,3,4,At Risk
1108,8,8,2435.6,4,2,3,Potential Loyalists
1109,2,11,2499.31,5,3,3,Potential Loyalists
1110,10,7,1450.36,4,1,1,Promising
1111,31,3,515.65,2,1,1,Hibernating
1112,78,9,2511.01,1,2,3,Hibernating
1113,25,15,3776.89,3,5,5,Loyal Customers
1114,1,11,2784.58,5,3,4,Potential Loyalists
1115,73,9,1236.41,1,2,1,Hibernating
1116,35,12,2008.69,2,4,2,At Risk
1117,99,12,2859.3,1,4,4,At Risk
1118,46,9,2473.27,2,2,3,Hibernating
1119,2,8,1940.94,5,2,2,Potential Loyalists
1120,16,14,4170.82,3,5,5,Loyal Customers
1121,6,12,3052.8199999999997,4,4,4,Loyal Customers
1122,56,5,1363.87,2,1,1,Hibernating
1123,59,9,2187.35,2,2,2,Hibernating
1124,30,10,2711.38,2,3,3,At Risk
1125,51,15,4244.96,2,5,5,Cannot Lose Them
1126,11,14,3227.12,4,5,4,Loyal Customers
1127,71,14,3933.03,1,5,5,Cannot Lose Them
1128,1,7,2014.4,5,1,2,New Customers
1129,1,13,3057.0699999999997,5,4,4,Champions
1130,34,8,2254.17,2,2,2,Hibernating
1131,4,11,2535.0099999999998,5,3,3,Potential Loyalists
1132,62,9,1790.38,1,2,1,Hibernating
1133,1,10,2152.34,5,3,2,Potential Loyalists
1134,31,9,2731.83,2,2,3,Hibernating
1135,25,12,3040.09,3,4,4,Loyal Customers
1136,27,8,1784.75,3,2,1,About to Sleep
1137,7,9,2584.48,4,2,3,Potential Loyalists
1138,16,10,3302.92,3,3,4,Need Attention
1139,17,8,2143.01,3,2,2,About to Sleep
1140,21,10,2762.59,3,3,4,Need Attention
1141,66,8,1727.36,1,2,1,Hibernating
1142,97,4,1180.52,1,1,1,Hibernating
1143,25,8,1921.44,3,2,2,About to Sleep
1144,5,11,2988.98,5,3,4,Potential Loyalists
1145,3,9,1857.22,5,2,2,Potential Loyalists
1146,56,11,2557.77,2,3,3,At Risk
1147,29,12,3692.12,3,4,5,Loyal Customers
1148,44,7,1089.58,2,1,1,Hibernating
1149,15,11,2241.7,3,3,2,Need Attention
1150,5,9,2621.48,5,2,3,Potential Loyalists
1151,8,7,2330.97,4,1,3,Promising
1152,104,14,4420.8,1,5,5,Cannot Lose Them
1153,32,9,2002.0,2,2,2,Hibernating
1154,62,6,1319.29,1,1,1,Hibernating
1155,9,7,2465.42,4,1,3,Promising
1156,45,8,1702.16,2,2,1,Hibernating
1157,10,9,2737.31,4,2,3,Potential Loyalists
1158,7,11,2772.56,4,3,4,Potential Loyalists
1159,19,9,2950.06,3,2,4,About to Sleep
1160,88,14,2310.5299999999997,1,5,3,Cannot Lose Them
1161,7,11,2578.8199999999997,4,3,3,Potential Loyalists
1162,32,16,4040.08,2,5,5,Cannot Lose Them
1163,1,16,4622.02,5,5,5,Champions
1164,5,10,2369.4700000000003,5,3,3,Potential Loyalists
1165,2,10,2140.48,5,3,2,Potential Loyalists
1166,25,14,3271.7200000000003,3,5,4,Loyal Customers
1167,17,7,1519.25,3,1,1,About to Sleep
1168,43,7,1557.1100000000001,2,1,1,Hibernating
1169,6,12,3416.32,4,4,5,Loyal Customers
1170,4,16,4321.12,5,5,5,Champions
1171,9,7,2249.92,4,1,2,Promising
1172,3,9,1788.42,5,2,1,Potential Loyalists
1173,33,13,3044.55,2,4,4,At Risk
1174,26,5,861.05,3,1,1,About to Sleep
1175,9,8,2336.0299999999997,4,2,3,Potential Loyalists
1176,3,10,2319.61,5,3,3,Potential Loyalists
1177,3,12,3414.78,5,4,5,Champions
1178,38,13,3670.4,2,4,5,At Risk
1179,3,11,3007.51,5,3,4,Potential Loyalists
1180,26,6,1420.86,3,1,1,About to Sleep
1181,19,8,1545.56,3,2,1,About to Sleep
1182,46,7,1354.23,2,1,1,Hibernating
1183,5,6,1511.94,5,1,1,New Customers
1184,3,15,4113.56,5,5,5,Champions
1185,1,12,3990.87,5,4,5,Champions
1186,17,11,3800.26,3,3,5,Need Attention
1187,19,6,2250.5,3,1,2,About to Sleep
1188,21,6,1561.04,3,1,1,About to Sleep
1189,21,12,3004.13,3,4,4,Loyal Customers
1190,11,11,2560.29,4,3,3,Potential Loyalists
1191,11,10,2131.74,4,3,2,Potential Loyalists
1192,123,9,2134.02,1,2,2,Hibernating
1193,15,14,4063.75,3,5,5,Loyal Customers
1194,24,8,2433.14,3,2,3,About to Sleep
1195,69,12,2448.6,1,4,3,At Risk
1196,38,3,540.0,2,1,1,Hibernating
1197,22,9,2539.25,3,2,3,About to Sleep
1198,63,9,2243.76,1,2,2,Hibernating
1199,1,14,3023.2200000000003,5,5,4,Champions
1200,67,8,1576.62,1,2,1,Hibernating
1201,16,7,1738.15,3,1,1,About to Sleep
1202,12,11,2391.84,4,3,3,Potential Loyalists
1203,13,13,3924.97,4,4,5,Loyal Customers
1204,31,13,2937.8,2,4,4,At Risk
1205,35,4,1325.92,2,1,1,Hibernating
1206,46,7,1909.69,2,1,2,Hibernating
1207,6,7,1669.81,4,1,1,Promising
1208,3,15,4189.4800000000005,5,5,5,Champions
1209,1,8,2536.66,5,2,3,Potential Loyalists
1210,4,11,2974.62,5,3,4,Potential Loyalists
1211,36,13,3827.33,2,4,5,At Risk
1212,87,5,1935.88,1,1,2,Hibernating
1213,94,12,3189.01,1,4,4,At Risk
1214,6,13,2787.0299999999997,4,4,4,Loyal Customers
1215,6,16,3061.72,4,5,4,Loyal Customers
1216,11,8,1789.18,4,2,1,Potential Loyalists
1217,10,7,1821.38,4,1,2,Promising
1218,3,10,2485.68,5,3,3,Potential Loyalists
1219,18,13,4145.07,3,4,5,Loyal Customers
1220,2,6,1273.16,5,1,1,New Customers
1221,9,7,1485.49,4,1,1,Promising
1222,39,10,2164.9,2,3,2,At Risk
1223,26,10,2631.97,3,3,3,Need Attention
1224,1,16,3836.3,5,5,5,Champions
1225,88,10,2793.44,1,3,4,At Risk
1226,8,9,2355.86,4,2,3,Potential Loyalists
1227,3,8,1977.45,5,2,2,Potential Loyalists
1228,11,11,2270.95,4,3,2,Potential Loyalists
1229,21,6,1544.67,3,1,1,About to Sleep
1230,61,9,2648.61,1,2,3,Hibernating
1231,7,10,2376.14,4,3,3,Potential Loyalists
1232,145,7,2204.2,1,1,2,Hibernating
1233,98,13,2394.73,1,4,3,At Risk
1234,17,6,1937.1599999999999,3,1,2,About to Sleep
1235,62,14,3291.35,1,5,4,Cannot Lose Them
1236,13,6,1736.07,4,1,1,Promising
1237,15,10,2216.88,3,3,2,Need Attention
1238,12,14,3820.29,4,5,5,Loyal Customers
1239,64,9,2320.8,1,2,3,Hibernating
1240,25,7,1779.74,3,1,1,About to Sleep
1241,2,14,3346.2200000000003,5,5,4,Champions
1242,13,11,3078.84,4,3,4,Potential Loyalists
1243,12,7,1634.29,4,1,1,Promising
1244,96,10,2627.23,1,3,3,At Risk
1245,56,6,1595.69,2,1,1,Hibernating
1246,1,10,2844.11,5,3,4,Potential Loyalists
1247,148,7,2009.32,1,1,2,Hibernating
1248,59,11,1271.64,2,3,1,At Risk
1249,84,9,2554.06,1,2,3,Hibernating
1250,142,7,1840.51,1,1,2,Hibernating
1251,61,6,1249.01,1,1,1,Hibernating
1252,36,15,4965.4,2,5,5,Cannot Lose Them
1253,106,14,3222.01,1,5,4,Cannot Lose Them
1254,2,7,1873.09,5,1,2,New Customers
1255,1,9,2232.56,5,2,2,Potential Loyalists
1256,1,10,2671.48,5,3,3,Potential Loyalists
1257,31,9,2513.37,2,2,3,Hibernating
1258,5,13,2579.74,5,4,3,Champions
1259,38,11,2474.62,2,3,3,At Risk
1260,17,14,4207.77,3,5,5,Loyal Customers
1261,50,10,3080.22,2,3,4,At Risk
1262,102,9,2102.26,1,2,2,Hibernating
1263,10,15,3921.1,4,5,5,Loyal Customers
1264,1,7,2299.37,5,1,2,New Customers
1265,19,15,4477.33,3,5,5,Loyal Customers
1266,6,14,3571.1800000000003,4,5,5,Loyal Customers
1267,91,15,4104.66,1,5,5,Cannot Lose Them
1268,66,9,2800.99,1,2,4,Hibernating
1269,4,5,1217.45,5,1,1,New Customers
1270,17,8,1514.96,3,2,1,About to Sleep
1271,10,9,3136.48,4,2,4,Potential Loyalists
1272,8,10,2469.77,4,3,3,Potential Loyalists
1273,44,6,2599.82,2,1,3,Hibernating
1274,90,6,1123.13,1,1,1,Hibernating
1275,8,12,3568.43,4,4,5,Loyal Customers
1276,138,5,1325.2,1,1,1,Hibernating
1277,3,6,1455.0,5,1,1,New Customers
1278,27,12,3992.3,3,4,5,Loyal Customers
1279,20,8,2686.52,3,2,3,About to Sleep
1280,33,8,1474.43,2,2,1,Hibernating
1281,136,11,2931.25,1,3,4,At Risk
1282,36,10,2046.47,2,3,2,At Risk
1283,54,12,3348.25,2,4,5,At Risk
1284,24,9,2186.65,3,2,2,About to Sleep
1285,4,9,2510.4300000000003,5,2,3,Potential Loyalists
1286,4,14,3369.53,5,5,5,Champions
1287,18,12,2830.1800000000003,3,4,4,Loyal Customers
1288,12,10,2285.82,4,3,2,Potential Loyalists
1289,45,8,2797.17,2,2,4,Hibernating
1290,215,11,2563.45,1,3,3,At Risk
1291,4,10,2727.67,5,3,3,Potential Loyalists
1292,3,10,1805.46,5,3,1,Potential Loyalists
1293,236,9,1857.35,1,2,2,Hibernating
1294,15,9,1675.11,3,2,1,About to Sleep
1295,2,13,3192.13,5,4,4,Champions
1296,38,16,4177.88,2,5,5,Cannot Lose Them
1297,13,14,3508.23,4,5,5,Loyal Customers
1298,48,12,3192.32,2,4,4,At Risk
1299,139,13,3770.08,1,4,5,At Risk
1300,11,6,2141.25,4,1,2,Promising
1301,23,7,1823.5,3,1,2,About to Sleep
1302,98,10,2315.23,1,3,3,At Risk
1303,36,13,3590.26,2,4,5,At Risk
1304,61,8,2090.9700000000003,1,2,2,Hibernating
1305,73,7,2238.71,1,1,2,Hibernating
1306,3,8,2006.41,5,2,2,Potential Loyalists
1307,18,10,2503.61,3,3,3,Need Attention
1308,3,5,1099.03,5,1,1,New Customers
1309,30,10,2086.39,2,3,2,At Risk
1310,18,10,2620.69,3,3,3,Need Attention
1311,41,14,3164.72,2,5,4,Cannot Lose Them
1312,1,14,3779.15,5,5,5,Champions
1313,12,8,1160.47,4,2,1,Potential Loyalists
1314,20,10,2186.94,3,3,2,Need Attention
1315,46,17,4921.96,2,5,5,Cannot Lose Them
1316,49,9,2540.95,2,2,3,Hibernating
1317,9,8,2873.85,4,2,4,Potential Loyalists
1318,65,9,2435.52,1,2,3,Hibernating
1319,13,10,2651.12,4,3,3,Potential Loyalists
1320,37,14,3289.78,2,5,4,Cannot Lose Them
1321,27,11,3317.7799999999997,3,3,4,Need Attention
1322,27,10,1850.3700000000001,3,3,2,Need Attention
1323,8,13,3704.69,4,4,5,Loyal Customers
1324,44,3,399.36,2,1,1,Hibernating
1325,13,8,2223.24,4,2,2,Potential Loyalists
1326,5,6,1775.35,5,1,1,New Customers
1327,8,8,1826.29,4,2,2,Potential Loyalists
1328,65,17,5045.34,1,5,5,Cannot Lose Them
1329,51,16,2746.4700000000003,2,5,3,Cannot Lose Them
1330,67,12,3655.46,1,4,5,At Risk
1331,5,15,4862.17,5,5,5,Champions
1332,84,8,1758.11,1,2,1,Hibernating
1333,9,7,1983.58,4,1,2,Promising
1334,12,17,4506.54,4,5,5,Loyal Customers
1335,35,14,4000.83,2,5,5,Cannot Lose Them
1336,104,7,2068.7,1,1,2,Hibernating
1337,5,14,2766.66,5,5,4,Champions
1338,116,7,1516.1399999999999,1,1,1,Hibernating
1339,15,10,2122.67,3,3,2,Need Attention
1340,15,9,2095.57,3,2,2,About to Sleep
1341,4,10,2370.26,5,3,3,Potential Loyalists
1342,49,13,3817.37,2,4,5,At Risk
1343,41,15,3927.71,2,5,5,Cannot Lose Them
1344,60,8,2410.14,2,2,3,Hibernating
1345,1,7,2148.48,5,1,2,New Customers
1346,213,8,2364.86,1,2,3,Hibernating
1347,8,8,2384.32,4,2,3,Potential Loyalists
1348,18,15,4261.34,3,5,5,Loyal Customers
1349,24,12,4162.3,3,4,5,Loyal Customers
1350,11,11,2876.35,4,3,4,Potential Loyalists
1351,76,13,2997.51,1,4,4,At Risk
1352,14,8,2127.35,4,2,2,Potential Loyalists
1353,154,12,3096.2,1,4,4,At Risk
1354,210,10,2571.94,1,3,3,At Risk
1355,3,11,3494.12,5,3,5,Potential Loyalists
1356,2,11,2957.09,5,3,4,Potential Loyalists
1357,79,12,3194.98,1,4,4,At Risk
1358,15,10,2654.21,3,3,3,Need Attention
1359,6,13,3094.7,4,4,4,Loyal Customers
1360,11,4,1002.3,4,1,1,Promising
1361,3,9,1942.2,5,2,2,Potential Loyalists
1362,40,10,2310.31,2,3,3,At Risk
1363,98,5,1398.8600000000001,1,1,1,Hibernating
1364,113,6,1573.49,1,1,1,Hibernating
1365,46,11,3409.57,2,3,5,At Risk
1366,1,11,2359.66,5,3,3,Potential Loyalists
1367,20,10,2424.18,3,3,3,Need Attention
1368,5,11,3115.53,5,3,4,Potential Loyalists
1369,49,12,3596.93,2,4,5,At Risk
1370,30,6,851.55,2,1,1,Hibernating
1371,1,9,2500.81,5,2,3,Potential Loyalists
1372,130,10,2448.14,1,3,3,At Risk
1373,14,10,2678.19,4,3,3,Potential Loyalists
1374,3,8,2242.07,5,2,2,Potential Loyalists
1375,73,8,2539.63,1,2,3,Hibernating
1376,1,16,4112.81,5,5,5,Champions
1377,4,9,2727.07,5,2,3,Potential Loyalists
1378,7,8,2695.14,4,2,3,Potential Loyalists
1379,61,7,2141.06,1,1,2,Hibernating
1380,26,8,2122.04,3,2,2,About to Sleep
1381,7,11,3187.71,4,3,4,Potential Loyalists
1382,5,8,2033.4,5,2,2,Potential Loyalists
1383,6,7,1951.85,4,1,2,Promising
1384,61,13,3016.36,1,4,4,At Risk
1385,123,9,2330.29,1,2,3,Hibernating
1386,11,10,2915.44,4,3,4,Potential Loyalists
1387,12,17,5107.79,4,5,5,Loyal Customers
1388,49,6,1499.99,2,1,1,Hibernating
1389,54,12,3742.15,2,4,5,At Risk
1390,35,9,2714.56,2,2,3,Hibernating
1391,3,6,909.34,5,1,1,New Customers
1392,8,16,3573.94,4,5,5,Loyal Customers
1393,4,13,3231.7200000000003,5,4,4,Champions
1394,12,11,3354.17,4,3,5,Potential Loyalists
1395,32,10,2938.34,2,3,4,At Risk
1396,26,9,1726.76,3,2,1,About to Sleep
1397,112,9,1544.15,1,2,1,Hibernating
1398,9,13,3964.7200000000003,4,4,5,Loyal Customers
1399,5,11,1516.22,5,3,1,Potential Loyalists
1400,27,9,2005.02,3,2,2,About to Sleep
1401,181,8,2102.46,1,2,2,Hibernating
1402,33,7,2290.95,2,1,2,Hibernating
1403,12,8,2216.75,4,2,2,Potential Loyalists
1404,9,9,2812.36,4,2,4,Potential Loyalists
1405,32,11,2916.32,2,3,4,At Risk
1406,10,9,2104.79,4,2,2,Potential Loyalists
1407,36,9,1602.95,2,2,1,Hibernating
1408,8,15,3430.4,4,5,5,Loyal Customers
1409,2,7,1601.6100000000001,5,1,1,New Customers
1410,204,12,3420.91,1,4,5,At Risk
1411,33,16,4705.85,2,5,5,Cannot Lose Them
1412,30,16,3292.2,2,5,4,Cannot Lose Them
1413,56,11,3126.82,2,3,4,At Risk
1414,12,8,1828.8200000000002,4,2,2,Potential Loyalists
1415,10,7,2028.22,4,1,2,Promising
1416,103,5,1604.73,1,1,1,Hibernating
1417,4,10,2268.1,5,3,2,Potential Loyalists
1418,10,11,3154.61,4,3,4,Potential Loyalists
1419,10,11,2716.33,4,3,3,Potential Loyalists
1420,3,8,2445.83,5,2,3,Potential Loyalists
1421,2,8,1635.28,5,2,1,Potential Loyalists
1422,34,11,2569.69,2,3,3,At Risk
1423,110,7,2274.71,1,1,2,Hibernating
1424,2,11,3599.53,5,3,5,Potential Loyalists
1425,3,13,2449.5,5,4,3,Champions
1426,3,12,4208.52,5,4,5,Champions
1427,2,11,2497.88,5,3,3,Potential Loyalists
1428,6,12,3952.26,4,4,5,Loyal Customers
1429,1,14,4791.86,5,5,5,Champions
1430,2,9,2047.74,5,2,2,Potential Loyalists
1431,8,11,2873.98,4,3,4,Potential Loyalists
1432,2,9,2070.94,5,2,2,Potential Loyalists
1433,130,10,2750.62,1,3,3,At Risk
1434,3,19,5773.83,5,5,5,Champions
1435,94,9,2379.57,1,2,3,Hibernating
1436,8,11,2874.24,4,3,4,Potential Loyalists
1437,14,13,2586.36,4,4,3,Loyal Customers
1438,45,12,3490.06,2,4,5,At Risk
1439,10,12,3420.2,4,4,5,Loyal Customers
1440,104,10,1617.96,1,3,1,At Risk
1441,20,11,2805.5,3,3,4,Need Attention
1442,2,13,2934.74,5,4,4,Champions
1443,8,15,4006.5,4,5,5,Loyal Customers
1444,8,16,3807.35,4,5,5,Loyal Customers
1445,2,9,2219.8,5,2,2,Potential Loyalists
1446,11,12,2741.13,4,4,3,Loyal Customers
1447,19,12,3258.09,3,4,4,Loyal Customers
1448,3,17,4154.33,5,5,5,Champions
1449,26,13,3865.84,3,4,5,Loyal Customers
1450,44,11,2950.16,2,3,4,At Risk
1451,75,12,2700.9900000000002,1,4,3,At Risk
1452,1,10,2691.91,5,3,3,Potential Loyalists
1453,6,16,4846.54,4,5,5,Loyal Customers
1454,9,10,2459.99,4,3,3,Potential Loyalists
1455,27,8,2361.46,3,2,3,About to Sleep
1456,1,9,2049.23,5,2,2,Potential Loyalists
1457,31,9,1671.87,2,2,1,Hibernating
1458,72,14,3596.94,1,5,5,Cannot Lose Them
1459,7,12,2839.26,4,4,4,Loyal Customers
1460,1,9,2966.49,5,2,4,Potential Loyalists
1461,41,9,2243.87,2,2,2,Hibernating
1462,29,9,2140.92,3,2,2,About to Sleep
1463,81,12,2994.84,1,4,4,At Risk
1464,130,12,3697.25,1,4,5,At Risk
1465,20,11,2838.35,3,3,4,Need Attention
1466,3,15,4185.03,5,5,5,Champions
1467,4,10,2143.59,5,3,2,Potential Loyalists
1468,64,13,3267.56,1,4,4,At Risk
1469,13,11,2349.6,4,3,3,Potential Loyalists
1470,30,11,2578.74,2,4,3,At Risk
1471,31,6,1270.56,2,1,1,Hibernating
1472,23,13,3352.58,3,4,5,Loyal Customers
1473,24,10,3166.2599999999998,3,3,4,Need Attention
1474,60,9,2547.44,2,2,3,Hibernating
1475,5,8,1935.38,5,2,2,Potential Loyalists
1476,1,8,1914.71,5,2,2,Potential Loyalists
1477,32,9,1557.03,2,2,1,Hibernating
1478,102,8,1299.47,1,2,1,Hibernating
1479,15,10,2613.07,3,3,3,Need Attention
1480,57,13,3686.7400000000002,2,5,5,Cannot Lose Them
1481,13,9,2164.39,4,2,2,Potential Loyalists
1482,122,7,1758.12,1,1,1,Hibernating
1483,103,5,1759.35,1,1,1,Hibernating
1484,26,6,1193.5900000000001,3,1,1,About to Sleep
1485,6,10,2405.13,4,3,3,Potential Loyalists
1486,145,12,3998.31,1,4,5,At Risk
1487,56,9,2223.8,2,2,2,Hibernating
1488,83,11,1553.0,1,4,1,At Risk
1489,1,10,2380.6,5,3,3,Potential Loyalists
1490,13,11,1862.22,4,4,2,Loyal Customers
1491,28,12,3347.53,3,4,5,Loyal Customers
1492,56,19,5673.85,2,5,5,Cannot Lose Them
1493,141,7,1702.46,1,1,1,Hibernating
1494,107,11,2545.62,1,4,3,At Risk
1495,2,12,2823.33,5,4,4,Champions
1496,116,7,1881.37,1,1,2,Hibernating
1497,60,6,1808.85,2,1,1,Hibernating
1498,122,7,1795.88,1,1,1,Hibernating
1499,1,11,2041.26,5,4,2,Champions
1500,115,7,2313.31,1,1,3,Hibernating
1501,21,11,2857.25,3,4,4,Loyal Customers
1502,29,13,3127.7200000000003,3,5,4,Loyal Customers
1503,54,15,4247.28,2,5,5,Cannot Lose Them
1504,8,11,3507.32,4,4,5,Loyal Customers
1505,23,9,2506.97,3,2,3,About to Sleep
1506,7,8,2322.9,4,2,3,Potential Loyalists
1507,19,8,1808.46,3,2,1,About to Sleep
1508,41,16,3512.32,2,5,5,Cannot Lose Them
1509,50,16,3612.51,2,5,5,Cannot Lose Them
1510,27,12,3330.13,3,4,4,Loyal Customers
1511,86,9,2502.95,1,2,3,Hibernating
1512,59,10,2748.18,2,3,3,At Risk
1513,2,12,3396.82,5,4,5,Champions
1514,48,13,3759.94,2,5,5,Cannot Lose Them
1515,27,7,1582.29,3,1,1,About to Sleep
1516,25,10,2547.83,3,3,3,Need Attention
1517,34,14,4804.07,2,5,5,Cannot Lose Them
1518,19,8,1706.52,3,2,1,About to Sleep
1519,26,9,1964.28,3,2,2,About to Sleep
1520,13,12,2699.75,4,4,3,Loyal Customers
1521,1,10,2844.37,5,3,4,Potential Loyalists
1522,26,7,1678.26,3,1,1,About to Sleep
1523,73,12,2764.1,1,4,4,At Risk
1524,2,12,3387.87,5,4,5,Champions
1525,16,10,2537.55,3,3,3,Need Attention
1526,41,13,3517.41,2,5,5,Cannot Lose Them
1527,11,8,1827.29,4,2,2,Potential Loyalists
1528,47,4,906.0899999999999,2,1,1,Hibernating
1529,4,11,2247.55,5,4,2,Champions
1530,41,11,3240.45,2,4,4,At Risk
1531,23,14,4114.07,3,5,5,Loyal Customers
1532,16,14,3163.7,3,5,4,Loyal Customers
1533,30,14,4334.69,2,5,5,Cannot Lose Them
1534,1,12,2679.16,5,4,3,Champions
1535,155,5,986.01,1,1,1,Hibernating
1536,33,12,2552.13,2,4,3,At Risk
1537,6,18,4449.88,4,5,5,Loyal Customers
1538,16,9,2217.05,3,2,2,About to Sleep
1539,17,13,2803.49,3,5,4,Loyal Customers
1540,79,9,2184.69,1,2,2,Hibernating
1541,101,14,3579.22,1,5,5,Cannot Lose Them
1542,39,10,2747.7,2,3,3,At Risk
1543,18,12,3030.71,3,4,4,Loyal Customers
1544,4,8,2227.6,5,2,2,Potential Loyalists
1545,37,10,2986.77,2,3,4,At Risk
1546,3,11,2344.51,5,4,3,Champions
1547,10,10,2480.02,4,3,3,Potential Loyalists
1548,14,14,3200.06,4,5,4,Loyal Customers
1549,18,8,2241.33,3,2,2,About to Sleep
1550,31,8,1678.03,2,2,1,Hibernating
1551,20,10,3248.82,3,3,4,Need Attention
